post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:pos_product_visibility,attribute:Size,attribute_data:Size,attribute:lemon,attribute_data:lemon
"NIPPLE KELINCI STAINLESS 1 PCS - Nippel untuk Hamster Marmut Kelinci Otomatis",nipple-kelinci-stainless-1-pcs-nippel-untuk-hamster-marmut-kelinci-otomatis,,94,"<strong>NIPPLE KELINCI STAINLESS KOMPLIT</strong>

<strong>Deskripsi:</strong>

100% baru dan berkualitas tinggi. Bagus untuk Kelinci, Ferrets, Chinchilla atau hewan kecil lainnya, Dapat digunakan dengan berbagai kandang kawat. Tanpa tumpah dan berendam, untuk memastikan kelinci bisa mendapatkan air bersih dan segar. Sangat mudah digunakan, cukup hubungkan ke pipa selang dan kaitkan ke kandang kelinci, hemat tenaga dan waktu Anda. Datang dengan pegas kecil yang dapat memperbaiki puting pada kawat. Setiap peminum memiliki tiga bagian: nosel air, pegas, T-ayam (Seperti yang ditunjukkan gambar).

<strong>Fitur:</strong>
<ul>
 	<li>Bahan: Stainless Steel, Plastik.</li>
 	<li>Ukuran Nozzle Air: kira-kira. 35mm x 28mm.</li>
 	<li>T Tubing ukuran: 3,4 * 3,8 cm.</li>
</ul>",,Published,,0,"2026-07-02 17:19:13",1,open,TTS00001,,,no,no,,3510,,100,3,7,2,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost:8000/wp-content/uploads/2026/07/Nipple-Kelinci-Stainless-1-Pcs-_-Pak-Sonny.png ! alt :  ! title : Nipple-Kelinci-Stainless-1-Pcs-_-Pak-Sonny.png ! desc :  ! caption : ",,http://localhost:8000/product/nipple-kelinci-stainless-1-pcs-nippel-untuk-hamster-marmut-kelinci-otomatis/,0,,,simple,,"Perlengakapan Ternak",,,,,,,
"NIPPLE KELINCI STAINLES ISI 10 - Nipel Hamster Marmut Kelinci Otomatis",nipple-kelinci-stainles-isi-10-nipel-hamster-marmut-kelinci-otomatis,,95,"<strong>NIPPLE KELINCI STAINLESS KOMPLIT 10 PCS</strong>

<strong>Deskripsi:</strong>

100% baru dan berkualitas tinggi. Bagus untuk Kelinci, Ferrets, Chinchilla atau hewan kecil lainnya, Dapat digunakan dengan berbagai kandang kawat. Tanpa tumpah dan berendam, untuk memastikan kelinci bisa mendapatkan air bersih dan segar. Sangat mudah digunakan, cukup hubungkan ke pipa selang dan kaitkan ke kandang kelinci, hemat tenaga dan waktu Anda. Datang dengan pegas kecil yang dapat memperbaiki puting pada kawat. Setiap peminum memiliki tiga bagian: nosel air, pegas, T-ayam (Seperti yang ditunjukkan gambar).

<strong>Fitur:</strong>
<ul>
 	<li>Bahan: Stainless Steel, Plastik.</li>
 	<li>Ukuran Nozzle Air: kira-kira. 35mm x 28mm.</li>
 	<li>T Tubing ukuran: 3,4 * 3,8 cm.</li>
</ul>",,Published,,0,"2026-07-02 17:19:13",1,open,TTS00001X10,,,no,no,,30150,,90,5,14,6,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost:8000/wp-content/uploads/2026/07/Nipple-Kelinci-Stainless-10-Pcs-Pak-Sonny.png ! alt :  ! title : Nipple-Kelinci-Stainless-10-Pcs-Pak-Sonny.png ! desc :  ! caption : ",,http://localhost:8000/product/nipple-kelinci-stainles-isi-10-nipel-hamster-marmut-kelinci-otomatis/,0,,,simple,,"Perlengakapan Ternak",,,,,,,
"TEDUN 10 KAPSUL EKA FARMA - Untuk Ayam Turun Urat,Kaki Pincang, Bengkak Bubul, Iritasi, Luka.",tedun-10-kapsul-eka-farma-untuk-ayam-turun-uratkaki-pincang-bengkak-bubul-iritasi-luka,,96,"<strong>TEDUN 10 KAPSUL</strong>

Mengobati penyakit tedun pada ayam

<strong>ATURAN PAKAI:</strong>
<ul>
 	<li>Pencegahan : 2 x 1 kapsul/hari sebelum tanding</li>
 	<li>Pengobatan : 3 x 1 kapsul/hari selama 1 – 2 minggu sampai sembuh</li>
</ul>
<strong>Selamat Belanja!</strong>",,Published,,0,"2026-07-02 17:19:13",1,open,TTS00002,,,no,no,,6550,,50,6,15,6,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost:8000/wp-content/uploads/2026/07/Tedun-10-Kapsul-_-Eka-Farma.png ! alt :  ! title : Tedun-10-Kapsul-_-Eka-Farma.png ! desc :  ! caption : ",,http://localhost:8000/product/tedun-10-kapsul-eka-farma-untuk-ayam-turun-uratkaki-pincang-bengkak-bubul-iritasi-luka/,0,,,simple,,"Antibiotik & Anti Inflamasi",,,,,,,
"DURACOX HC 100 GRAM 1 PCS - Anti Koksi & Malaria Untuk Unggas Seperti Ayam, Bebek, Puyuh, Dll.",duracox-hc-100-gram-1-pcs-anti-koksi-malaria-untuk-unggas-seperti-ayam-bebek-puyuh-dll,,97,"<strong>Duracox HC</strong> adalah kombinasi dua bahan aktif yang bekerja secara sinergis dan memberikan efek potensiasi untuk penanganan Coccidiosis dan malaria pada unggas yang disebabkan oleh Protozoa.

<strong>INDIKASI:</strong>
<ul>
 	<li>Mengobati Coccidiosis dan Malaria</li>
</ul>
<strong>DOSIS DAN ATURAN PAKAI:</strong>
<ul>
 	<li>2g/l air minum selama 3 hari berselang (2 x minggu)</li>
</ul>
<strong>KOMPOSISI:</strong>
<ul>
 	<li>Tiap kg mengandung:</li>
 	<li>Sulfaquinoxaline ....... 40g</li>
 	<li>Diaveridine ................. 10g</li>
</ul>
<strong>PERHATIAN</strong>

Simpan di tempat sejuk, kering dan tertutup rapat.

<strong>NETTO</strong>

Sachet 100g

<strong>Selamat belanja!</strong>",,Published,,0,"2026-07-02 17:19:13",1,open,TTS00003,,,no,no,,24900,,125,5,14,4,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost:8000/wp-content/uploads/2026/07/Duracox-Hc-100-Gram-_-Agrinusa.png ! alt :  ! title : Duracox-Hc-100-Gram-_-Agrinusa.png ! desc :  ! caption : ",,http://localhost:8000/product/duracox-hc-100-gram-1-pcs-anti-koksi-malaria-untuk-unggas-seperti-ayam-bebek-puyuh-dll/,0,,,simple,,"Obat Unggas",,,,,,,
"DURACOX HC 100 GRAM 10 PCS BY AGRINUSA LEBIH MURAH - Untuk Anti Koksi & Malaria Pada Unggas Seperti Ayam, Bebek",duracox-hc-100-gram-10-pcs-by-agrinusa-lebih-murah-untuk-anti-koksi-malaria-pada-unggas-seperti-ayam-bebek,,98,"<strong>10 PCS DURACOX HC 100 GRAM BY AGRINUSA LEBIH MURAH</strong>

<strong>Duracox HC</strong> adalah kombinasi dua bahan aktif yang bekerja secara sinergis dan memberikan efek potensiasi untuk penanganan Coccidiosis dan malaria pada unggas yang disebabkan oleh Protozoa.

<strong>DOSIS DAN ATURAN PAKAI:</strong>
<ul>
 	<li>2g/l air minum selama 3 hari berselang (2 x minggu)</li>
</ul>
<strong>ISI:</strong>
<ul>
 	<li>10 PCS</li>
</ul>",,Published,,0,"2026-07-02 17:19:13",1,open,TTS00003X10,,,no,no,,234900,,120,5,14,4,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost:8000/wp-content/uploads/2026/07/Duracox-Hc-100-Gram-_-Agrinusa-10-Pcs.jpg ! alt :  ! title : Duracox-Hc-100-Gram-_-Agrinusa-10-Pcs.jpg ! desc :  ! caption : ",,http://localhost:8000/product/duracox-hc-100-gram-10-pcs-by-agrinusa-lebih-murah-untuk-anti-koksi-malaria-pada-unggas-seperti-ayam-bebek/,0,,,simple,,"Obat Unggas",,,,,,,
"LIMOXIN 50 ISI 100 ML - AB Untuk Hewan Ternak Sapi",limoxin-50-isi-100-ml-ab-untuk-hewan-ternak-sapi,,99,"<strong>LIMOXIN-50</strong>

<strong>DOSIS PEMAKAIAN:</strong>

<strong>- Sapi, Kerbau, Kuda</strong>
<ul>
 	<li>&lt; 50 kg = 2 - 4 ml</li>
 	<li>50-100 kg = 4 - 8 ml</li>
 	<li>&gt; 100 kg = tiap kenaikan 25 kg dosis ditambah 2 ml</li>
</ul>
<strong>- Babi, Domba, Kambing</strong>
<ul>
 	<li>&lt; 5 kg = 0,5 - 1 ml</li>
 	<li>5-15 kg = 1 - 2 ml</li>
 	<li>15-30 kg = 2 - 4 ml</li>
 	<li>50 kg = 5 ml</li>
 	<li>&gt; 50 kg = Tiap kenaikan 25 kg dosis ditambah 1 ml</li>
</ul>
<strong>- Anjing, Kucing </strong>
<ul>
 	<li>0,5 - 2 ml</li>
</ul>
<strong>- Ayam</strong>
<ul>
 	<li>0,5 - 1 ml</li>
</ul>
- Pada induk babi, suntikan Limoxin-50 sebanyak 7 ml per 50 kg berat badan 8 jam sebelum atau segera setelah melahirkan untuk mencegah mencret pada anak babi yang disebabkan E. coli atau bakteri lain

<strong>Kemasan </strong>= Vial 100 ml

&nbsp;",,Published,,0,"2026-07-02 17:19:14",1,open,TTS00004,,,no,no,,62714,,250,6,12,6,,,outofstock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost:8000/wp-content/uploads/2026/07/Limoxin-50-Isi-100-ml-_-TMC.png ! alt :  ! title : Limoxin-50-Isi-100-ml-_-TMC.png ! desc :  ! caption : ",,http://localhost:8000/product/limoxin-50-isi-100-ml-ab-untuk-hewan-ternak-sapi/,0,,,simple,outofstock,"Antibiotik & Anti Inflamasi",,,,,,,
"SUSU PAP 10 KG - Susu Pap Kemasan 10 kg Untuk Hewan Ternak Usia Di Bawah 6 Bulan.",susu-pap-10-kg-susu-pap-kemasan-10-kg-untuk-hewan-ternak-usia-di-bawah-6-bulan,,100,"<strong>Susu Pap</strong> Adalah Pakan Komplit ( Konsentrat ) Yang Diberikan Untuk Anakan Sapi Perah ( Pedet )

<strong>Berat :</strong> 10 Kg

<strong>Bentuk :</strong> Pelet

Bisa Digunakan Sebagai Makanan Untuk Hewan :
<ul>
 	<li>Anakan Sapi Umur Dibawah 6 Bulan</li>
</ul>",,Published,,0,"2026-07-02 17:19:14",1,open,TTS00005,,,no,no,,109286,,10250,13,30,15,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost:8000/wp-content/uploads/2026/07/Susu-Pap-10-kg-_-Japfa.png ! alt :  ! title : Susu-Pap-10-kg-_-Japfa.png ! desc :  ! caption : ",,http://localhost:8000/product/susu-pap-10-kg-susu-pap-kemasan-10-kg-untuk-hewan-ternak-usia-di-bawah-6-bulan/,0,,,simple,,"Susu Ternak",,,,,,,
"AGRISELVIT 100 GRAM - Meningkatkan Produktivitas & Imunitas Ayam",agriselvit-100-gram-meningkatkan-produktivitas-imunitas-ayam,,101,"<strong>AGRISELVIT 100 GRAM</strong>

<strong>DESCRIPTION</strong>

Kombinasi multivitamin dan selenium dalam bentuk serbuk larut air.

<strong>KOMPOSISI</strong>

Tiap kg mengandung

Vitamin A.....................1.500.000 IU

Vitamin E..................................4,5 g

Vitamin B12.........................0,001 g

Vitamin B2.............................0,21 g

Vitamin B6.............................0,25 g

Vitamin C...............................0,25 g

Vitamin K3..................................2 g

Vitamin B1..................................1 g

Folic Acid...............................0,05 g

Na...............................................5 g

Ca................................................4 g

K..................................................5 g

Mg...............................................4 g

Selenium.............................0.036 g

Nico-tinami-de............................2 g

Ca-d-panthothenate...................1 g

<strong>INDIKASI</strong>

Antidefisiensi vitamin dan mineral, memperbaiki reproduksi, antioksidan untuk pertahanan sel dari radikal bebas dan toksin serta kesuburan dan daya tetas.

<strong>DOSIS DAN CARA PEMBERIAN</strong>
<ul>
 	<li>Pemberian melalui air minum dengan dosis 1 g/2 L air selama 3-5 hari, atau 1 kg per ton pakan atau 1 kg untuk 8 rb ekor. Untuk pullet usia 10-20 minggu dan fase layer (bertelur) umur 30 minggu ke atas</li>
</ul>
<strong>KEMASAN</strong>
<ul>
 	<li>100 gram</li>
</ul>
<strong>Selamat Belanja!</strong>",,Published,,0,"2026-07-02 17:19:14",1,open,TTS00006,,,no,no,,18000,,125,5,14,4,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost:8000/wp-content/uploads/2026/07/Agriselvit-100-Gram.png ! alt :  ! title : Agriselvit-100-Gram.png ! desc :  ! caption : ",,http://localhost:8000/product/agriselvit-100-gram-meningkatkan-produktivitas-imunitas-ayam/,0,,,simple,,"Vitamin & Suplemen Ternak & Unggas",,,,,,,
"10 PCS AGRISELVIT 100 GRAM BY AGRINUSA LEBIH MURAH - Untuk Meningkatkan Produktivitas & Imunitas Pada Unggas Ayam",10-pcs-agriselvit-100-gram-by-agrinusa-lebih-murah-untuk-meningkatkan-produktivitas-imunitas-pada-unggas-ayam,,102,"<strong>ISI 10 AGRISELVIT 100 GRAM BY AGRINUSA LEBIH MURAH</strong>

<strong>DESCRIPTION</strong>

Kombinasi multivitamin dan selenium dalam bentuk serbuk larut air.

<strong>INDIKASI</strong>

Antidefisiensi vitamin dan mineral, memperbaiki reproduksi, antioksidan untuk pertahanan sel dari radikal bebas dan toksin serta kesuburan dan daya tetas.

<strong>DOSIS DAN CARA PEMBERIAN</strong>
<ul>
 	<li>Pemberian melalui air minum dengan dosis 1 g/2 L air selama 3-5 hari, atau 1 kg per ton pakan atau 1 kg untuk 8 rb ekor. Untuk pullet usia 10-20 minggu dan fase layer (bertelur) umur 30 minggu ke atas</li>
</ul>
<strong>ISI</strong>
<ul>
 	<li>10 PCS</li>
</ul>",,Published,,0,"2026-07-02 17:19:14",1,open,TTS00006X10,,,no,no,,173000,,120,5,14,4,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost:8000/wp-content/uploads/2026/07/Agriselvit-100-Gram.png ! alt :  ! title : Agriselvit-100-Gram.png ! desc :  ! caption : ",,http://localhost:8000/product/10-pcs-agriselvit-100-gram-by-agrinusa-lebih-murah-untuk-meningkatkan-produktivitas-imunitas-pada-unggas-ayam/,0,,,simple,,"Vitamin & Suplemen Ternak & Unggas",,,,,,,
"DOPPING AYAM 10 KAPSUL by EKA FARMA - Suplemen Penambah Stamina Untuk Ayam.",dopping-ayam-10-kapsul-by-eka-farma-suplemen-penambah-stamina-untuk-ayam,,103,"<strong>DOPPING 10 KAPSUL EKA FARMA</strong>

<strong>INDIKASI</strong>
<ul>
 	<li>Menambah tenaga</li>
 	<li>Memperpanjang nafas</li>
 	<li>Tidak mudah lelah</li>
 	<li>Lebih gesit</li>
 	<li>Lebih berani dan pantang mundur</li>
 	<li>Membuat otot-otot lebih kuat dan elastis</li>
</ul>
<strong>ATURAN PAKAI :</strong>

Berikan 30 menit sebelum ayam berlaga 1-2 kapsul

<strong>Selamat Belanja!</strong>",,Published,,0,"2026-07-02 17:19:14",1,open,TTS00007,,,no,no,,10465,,100,6,15,6,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://localhost:8000/wp-content/uploads/2026/07/Dopping-Ayam-10-Kapsul-_-Eka-Farma.png ! alt :  ! title : Dopping-Ayam-10-Kapsul-_-Eka-Farma.png ! desc :  ! caption : ",,http://localhost:8000/product/dopping-ayam-10-kapsul-by-eka-farma-suplemen-penambah-stamina-untuk-ayam/,0,,,simple,,"Obat Unggas",,,,,,,
